ContDmgFnId,Occupancy,Source,Description,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,Comment
21,RES1,FIA,"one floor, no basement, Contents, A-Zone",0,0,0,0,12,25,35,36,38,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
22,RES1,FIA,"one floor, w/ basement, Contents, A-Zone",0,5,7,8,16,20,22,28,33,39,44,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
23,RES1,FIA,"two floors, no basement, Contents, A-Zone",0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
24,RES1,FIA (MOD.),"two floors, w/ basement, Contents, A-Zone",0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
25,RES1,FIA (MOD.),"three or more floors, no basement, Contents, A-Zone",0,0,0,0,7,15,21,22,23,25,27,30,35,40,43,45,48,50,52,54,56,58,60,60,60,60,60,60,60,NULL
26,RES1,FIA (MOD.),"three or more floors, w/ basement, Contents, A-Zone",0,5,7,8,15,22,27,28,29,30,32,35,39,43,46,47,50,52,53,55,57,58,60,60,60,60,60,60,60,NULL
27,RES1,FIA,"split level, no basement, Contents, A-Zone",0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
28,RES1,FIA (MOD.),"split level, w/ basement, Contents, A-Zone",0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
29,RES1,FIA,"one floor, no basement, Contents, V-Zone",0,0,0,0,10,17,23,29,35,40,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
30,RES1,FIA,"one floor, w/ basement, Contents, V-Zone",0,5,7,8,15,20,22,28,33,39,44,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
31,RES1,FIA,"two floors, no basement, Contents, V-Zone",0,0,0,0,7,9,17,22,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
32,RES1,FIA (MOD.),"two floors, w/ basement, Contents, V-Zone",0,5,7,8,15,17,23,28,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
33,RES1,FIA (MOD.),"three or more floors, no basement, Contents, V-Zone",0,0,0,0,6,11,15,19,23,26,29,32,35,41,43,45,48,50,52,54,56,58,60,60,60,60,60,60,60,NULL
34,RES1,FIA (MOD.),"three or more floors, w/ basement, Contents, V-Zone",0,5,7,8,14,18,22,25,29,31,34,36,39,44,46,47,50,52,53,55,57,58,60,60,60,60,60,60,60,NULL
35,RES1,FIA,"split level, no basement, Contents, V-Zone",0,0,0,0,7,9,17,22,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
36,RES1,FIA (MOD.),"split level, w/ basement, Contents, V-Zone",0,5,7,8,15,17,23,28,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
45,RES1,USACE - IWR,"one story, no basement, Contents",0,0,0,4,16,26,36,44,52,58,64,68,72,74,76,78,80,80,80,80,80,80,80,80,80,80,80,80,80,NULL
46,RES1,USACE - IWR,"two or more stories, no basement, Contents",0,0,0,2,10,18,24,32,38,42,48,52,56,60,64,66,70,72,72,74,74,76,76,78,78,80,80,82,82,NULL
47,RES1,USACE - IWR,"split level, no basement, Contents",0,0,0,4,6,10,16,22,30,40,50,62,72,82,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
48,RES1,USACE - Chicago,"one story, no basement, Contents",0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
49,RES1,USACE - Chicago,"one story, w/ basement, Contents",0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
50,RES1,USACE - Chicago,"split level, no basement, Contents",0,0,0,0,2,19,32,41,47,51,53,55,56,62,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,NULL
51,RES1,USACE - Chicago,"split level, w/ basement, Contents",0,0,10,15,18,31,44,52,58,61,63,64,66,69,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,NULL
52,RES1,USACE - Chicago,"two story, no basement, Contents",0,0,0,0,8,11,18,23,28,33,39,44,50,54,58,62,66,70,74,78,78,78,78,78,78,78,78,78,78,NULL
53,RES1,USACE - Chicago,"two story, w/ basement, Contents",0,5,6,9,11,17,22,28,33,39,44,49,55,61,64,71,76,78,79,79,79,79,79,79,79,79,79,79,79,NULL
54,RES1,USACE - Galveston,"one & 1/2 story, no basement, Contents",0,0,0,0,2,22,36,45,57,66,71,77,79,82,84,86,87,89,90,91,92,92,92,93,93,93,93,93,93,NULL
55,RES1,USACE - Galveston,"one story, no basement, Contents",0,0,0,0,8,42,60,71,77,82,85,86,87,88,88,88,89,90,90,90,90,90,90,90,90,90,90,90,90,NULL
56,RES1,USACE - Galveston,"two story, no basement, Contents",0,0,0,0,4,24,34,40,47,53,56,58,58,58,61,66,68,76,81,86,90,100,100,100,100,100,100,100,100,NULL
57,RES1,USACE - New Orleans,"one story, Contents, fresh water, short duration",0,0,0,0,0,42,63,82,85,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,NULL
58,RES1,USACE - New Orleans,"one story, Contents, salt water, long duration",0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,NULL
59,RES1,USACE - New Orleans,"two story, Contents, fresh water, short duration",0,0,0,0,0,25,37,51,51,55,55,55,55,55,73,81,87,90,93,93,93,93,93,93,93,93,93,93,93,NULL
60,RES1,USACE - New Orleans,"two story, Contents, salt water, long duration",0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,NULL
61,RES1,USACE - St. Paul,"one story, Contents",0,0,0,0,0,27,44,54,63,68,73,75,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,NULL
62,RES1,USACE - St. Paul,"two story, Contents",0,0,0,0,0,27,44,54,63,68,73,75,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,NULL
63,RES1,USACE - Wilmington,"one & 1/2 story, pile foundation, Contents",6,7,8,9,9,21,31,43,54,67,70,73,76,78,81,82,84,85,86,87,88,100,100,100,100,100,100,100,100,NULL
64,RES1,USACE - Wilmington,"one & 1/2 story, Contents",0,0,0,0,9,21,31,37,43,51,57,63,68,74,80,81,83,84,86,87,88,100,100,100,100,100,100,100,100,NULL
65,RES1,USACE - Wilmington,"one & 1/2 story w/ 1/2 living area below, Contents",0,0,0,0,2,6,10,15,18,21,23,24,28,34,44,54,63,73,76,79,82,85,86,87,88,89,90,91,92,NULL
66,RES1,USACE - Wilmington,"one story, pile foundation, contents",9,10,13,13,14,26,38,52,64,78,81,85,88,91,95,96,97,99,100,100,100,100,100,100,100,100,100,100,100,NULL
67,RES1,USACE - Wilmington,"one story, Contents",0,0,0,0,11,24,36,43,46,52,59,66,73,80,87,88,90,92,94,96,100,100,100,100,100,100,100,100,100,NULL
68,RES1,USACE - Wilmington,"one story w/ 1/2 living area below, Contents",0,0,0,0,2,11,16,20,24,28,30,32,38,46,54,63,72,82,85,89,92,95,96,97,98,98,99,100,100,NULL
69,RES1,USACE - Wilmington,"one story w/ basement, Contents",10,12,13,13,20,34,48,52,64,78,81,85,88,91,95,96,98,99,100,100,100,100,100,100,100,100,100,100,100,NULL
70,RES1,USACE - Wilmington,"split level, Contents",0,0,0,0,3,15,21,25,32,44,50,55,61,66,72,75,79,83,87,91,94,94,95,96,97,98,99,100,100,NULL
71,RES1,USACE - Wilmington,"two story, pile foundation, contents",6,7,8,9,10,19,29,38,45,53,55,57,59,61,63,67,71,75,78,82,86,100,100,100,100,100,100,100,100,NULL
72,RES1,USACE - Wilmington,"two story, Contents",0,0,0,0,7,18,26,30,40,50,52,53,55,56,58,63,68,72,77,82,86,100,100,100,100,100,100,100,100,NULL
73,RES1,USACE - Wilmington,"two story w/ 1/2 living area below, Contents",0,0,0,0,1,7,10,13,15,18,19,21,25,33,40,47,54,56,59,62,65,67,71,75,79,83,87,91,95,NULL
74,RES2,FIA,"Mobile Home, Contents, A-Zone",0,0,0,0,3,27,49,64,70,76,78,79,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,NULL
75,RES2,FIA,"Mobile Home, Contents, V-Zone",0,0,0,0,3,27,50,65,71,76,78,79,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,NULL
76,RES2,USACE - Chicago,"Mobile Home, Contents",0,0,0,0,3,27,49,64,70,76,78,79,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,NULL
77,RES2,USACE - Galveston,"Mobile Home, Contents",0,0,0,0,3,23,36,43,55,66,78,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
78,RES2,USACE - New Orleans,"Mobile Home, Contents, fresh water, short duration",0,0,0,0,0,39,54,75,77,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,NULL
79,RES2,USACE - New Orleans,"Mobile Home, Contents, salt water, long duration",0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,NULL
80,RES2,USACE - Wilmington,"Mobile Home, Contents",0,0,0,0,6,22,32,37,50,63,74,82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
81,RES3,USACE - Chicago,"Apartment Unit Grade, Contents",0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
82,RES3,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
83,RES3,USACE - Galveston,"Apartment, living area on one floor, Contents",0,0,0,0,6,34,44,55,67,77,87,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
84,RES3,USACE - Galveston,"Condominium, living area on multiple floors, Contents",0,0,0,0,4,24,34,40,47,53,56,58,58,58,61,66,68,76,81,86,91,100,100,100,100,100,100,100,100,NULL
85,RES4,USACE - Galveston,"Average hotel/motel, Contents (Equipment/Inventory)",0,0,0,0,0,11,19,25,29,34,39,44,49,56,65,74,82,88,98,98,98,98,98,98,98,98,98,98,98,NULL
86,RES4,USACE - Galveston,"Hotel, contents (Equipment)",0,0,0,0,0,11,22,28,33,37,41,44,46,49,54,60,69,81,100,100,100,100,100,100,100,100,100,100,100,NULL
87,RES4,USACE - Galveston,"Motel Unit, contents (Inventory)",0,0,0,0,0,10,16,21,25,30,36,43,52,63,76,88,95,95,95,95,95,95,95,95,95,95,95,95,95,NULL
88,RES5,USACE - Galveston,"Average institutional dormitory, contents",0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,RES6 default
89,RES6,USACE - Galveston,"Nursing Home, contents (Equipment)",0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
90,COM1,USACE - Galveston,Average retail trade contents (Inventory/Equipment),0,0,0,0,2,26,42,56,68,78,83,85,87,88,89,90,91,92,92,92,93,93,94,94,94,94,94,94,94,NULL
91,COM1,USACE - Galveston,"Antique, contents (Inventory)",0,0,0,0,20,75,78,85,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
92,COM1,USACE - Galveston,"Appliance Sales, contents (Equipment)",0,0,0,0,0,15,16,28,58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
93,COM1,USACE - Galveston,"Appliance Sales, contents (Inventory)",0,0,0,0,0,83,91,94,95,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
94,COM1,USACE - Galveston,"Large Auto Dealer, contents (Inventory)",0,0,0,0,20,50,90,95,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
95,COM1,USACE - Galveston,"Bait Stand, contents (Inventory)",0,0,0,0,0,3,7,11,16,22,29,36,44,52,60,69,79,88,100,100,100,100,100,100,100,100,100,100,100,NULL
96,COM1,USACE - Galveston,"Bakery, contents (Equipment)",0,0,0,0,14,35,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
97,COM1,USACE - Galveston,"Bakery, contents (Inventory)",0,0,0,0,55,65,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
98,COM1,USACE - Galveston,"Boat Sales/Service, contents (Equipment)",0,0,0,0,0,8,41,65,83,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,NULL
99,COM1,USACE - Galveston,"Boat Sales/Service, contents (Inventory)",0,0,0,0,13,24,43,82,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
100,COM1,USACE - Galveston,"Book Store, contents (Inventory)",0,0,0,0,0,7,14,21,27,35,42,49,57,65,73,82,92,100,100,100,100,100,100,100,100,100,100,100,100,NULL
101,COM1,USACE - Galveston,"Camera Store, contents (Inventory)",0,0,0,0,0,18,33,65,88,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
102,COM1,USACE - Galveston,"Carpet and Paint Shop, contents (Equipment)",0,0,0,0,0,30,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
103,COM1,USACE - Galveston,"Carpet and Paint Shop, contents (Inventory)",0,0,0,0,0,20,40,60,80,95,97,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
104,COM1,USACE - Galveston,"Mens Clothing, contents (Equipment)",0,0,0,0,0,32,41,60,78,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
105,COM1,USACE - Galveston,"Mens Clothing, contents (Inventory)",0,0,0,0,6,37,50,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
106,COM1,USACE - Galveston,"Crafts, contents (Equipment)",0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NULL
107,COM1,USACE - Galveston,"Crafts, contents (Inventory)",0,0,0,0,0,20,30,50,70,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
108,COM1,USACE - Galveston,"Chain Drug Store, contents (Inventory)",0,0,0,0,0,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
109,COM1,USACE - Galveston,"Fabric Store, contents (Equipment)",0,0,0,0,0,20,30,40,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
110,COM1,USACE - Galveston,"Fabric Store, contents (Inventory)",0,0,0,0,0,15,30,50,75,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
111,COM1,USACE - Galveston,"Feed Store, contents (Equipment)",0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,NULL
112,COM1,USACE - Galveston,"Feed Store, contents (Inventory)",0,0,0,0,0,0,0,0,15,15,15,15,25,25,25,25,50,50,50,50,75,75,100,100,100,100,100,100,100,NULL
113,COM1,USACE - Galveston,"Florist, contents (Equipment)",0,0,0,0,0,49,60,75,78,79,82,85,89,93,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,NULL
114,COM1,USACE - Galveston,"Florist, contents (Inventory)",0,0,0,0,0,50,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
115,COM1,USACE - Galveston,"Fruit Stand, contents (Inventory)",0,0,0,0,0,45,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
116,COM1,USACE - Galveston,"Large Furniture Store, contents (Inventory)",0,0,0,0,20,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
117,COM1,USACE - Galveston,"Gas/Butane Supply, contents (Equipment)",0,0,0,0,0,25,46,65,75,81,86,90,94,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
118,COM1,USACE - Galveston,"Gift Shop, contents (Inventory)",0,0,0,0,0,54,63,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
119,COM1,USACE - Galveston,"Greenhouse, contents (Equipment)",0,0,0,0,0,17,34,50,66,80,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
120,COM1,USACE - Galveston,"Greenhouse, contents (Inventory)",0,0,0,0,0,66,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
121,COM1,USACE - Galveston,"Small Grocery, contents (Equipment)",0,0,0,0,0,0,20,20,20,20,20,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,NULL
122,COM1,USACE - Galveston,"Small Grocery, contents (Inventory)",0,0,0,0,0,20,35,50,65,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
123,COM1,USACE - Galveston,"Medium Grocery, contents (Equipment)",0,0,0,0,4,80,90,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
124,COM1,USACE - Galveston,"Medium Grocery, contents (Inventory)",0,0,0,0,4,22,44,74,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
125,COM1,USACE - Galveston,"Gun Shop, contents (Equipment)",0,0,0,0,0,15,30,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
126,COM1,USACE - Galveston,"Gun Shop, contents (Inventory)",0,0,0,0,0,22,39,58,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
127,COM1,USACE - Galveston,"Hardware, contents (Equipment)",0,0,0,0,0,8,12,20,29,40,50,59,67,75,84,92,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
128,COM1,USACE - Galveston,"Hardware, contents (Inventory)",0,0,0,0,8,33,52,70,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
129,COM1,USACE - Galveston,"Hobby Shop, contents (Equipment)",0,0,0,0,0,56,87,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,NULL
130,COM1,USACE - Galveston,"Hobby Shop, contents (Inventory)",0,0,0,0,0,25,49,64,77,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
131,COM1,USACE - Galveston,"Lawnmower, contents (Equipment)",0,0,0,0,0,3,24,46,57,65,72,79,86,91,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,NULL
132,COM1,USACE - Galveston,"Lawnmower, contents (Inventory)",0,0,0,0,0,10,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
133,COM1,USACE - Galveston,"Liquor Store, contents (Equipment)",0,0,0,0,0,2,4,9,16,84,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL
